figure,references,text_len,ocr_items,avg_conf,ink_ratio,blue_red_ratio,class,ocr_preview
src01_p001.jpg,01_assignments_01.tex:48,293,15,0.8243,0.02412,0.0,text_heavy_convert_to_latex,1-1、D 解析：采川两刚片规则分 两个多余约束。 1-2、B 解析：原体系的计算川度W-3×3-1×2-4-3，做需要再补充:个约束。浙 在A处加入周是附，刚片ABC先并入人地，随眉刚片DE与人地链杆BD和饺 L连接，满两刚片规则可并入人地，同理F与人地同样满是两刚片规则，此时 原体系变为无多余约束的儿何不变体系。 1-3、C 解析：刚片ABC与人地山根不共线不交于点的链杆A，BD和CE，满是两 刚片规则，原体系为无多余约束的儿何不变
src01_p002.jpg,01_assignments_01.tex:82,191,8,0.8005,0.01878,0.0,mixed_text_and_diagram,1-5、4 解析：刚片如图所示，计算「度W_5×3-6×2-1×3-4--4。 1-6、X 解析：H大地依次增圳元体AB、ACB、ADC、DEC、DFE、LGII、EIG、FJI、 FKJ、KLF，KML，原体系为无多余约束的儿何不变体系。 1-7、解析：刚片AD、BL可接并入人地，链杆DE为个 LC与人地山间端C和饺L连接，满是两刚片规则川以 系为行3个多余约束的儿何不变体系。
src01_p003.jpg,01_assignments_01.tex:134,378,13,0.7923,0.03425,0.0,text_heavy_convert_to_latex,DO 1-8，解析：采而：刚片规则分析，各刚片如图所尔，刚片ABC与刚片CDL交下 饺C，刚片ABC与刚片GF链杆BI、AG连接交饺O、，刚片CDE与刚片TG用 链杆DF、（G正连接交饺O，，饺不共线满是：刚片规则红成人刚片，届与人地 山根不其线儿不交于点的链杆支连接，满是两刚片规则，原体系为无多余 约束的儿何不变体系。 1-9、解析：采用：刚片规则分析：各齐刚片如图所示，刚片ABC与刚片D館 杆BD、CF连接交了无穷远饺O：刚片ABC
src01_p004.jpg,01_assignments_01.tex:156,273,9,0.8222,0.03104,0.0,text_heavy_convert_to_latex,1-11、解析：先会掉元体AB、CEG，随盾有两个多余约束的刚片BCD与人地 H根不其线儿不交于点的链机D、CF和CG连接，满是两刚片规则，原体系 为有两个多余约束的儿何不变体系，两次超静定。 1-12、解析：刚ABC与人地根不其线不父点的链杆支座A和链柯CD 连接，满是两刚片规则可并入大地，随盾刚片BE大地同样由饺B和链杆F连接 满是两刚片规则，杆G正为多余约束。原体系为有”个多余约束的儿何不变体系。 1-13、解析：可将刚片3456
src01_p005.jpg,01_assignments_01.tex:204,250,12,0.7534,0.02426,0.0,mixed_text_and_diagram,1-14、解析：先去掉元似 不共线儿不父于：点的链 可无彩余约束的 儿何不变体系。 1-15、解析：计算门度W=7×2-13×1-1。采们两刚片规则分析，刚片ABC 与刚片DEF仪川链杆CD、BL连接，不满是两刚片规则，原体系为无多余约束的 几何常变体系。 1-16、解析：先县掉元体ABC，随盾宋刚片规则分析，各刚片如图所尔 刚片ADL与大地刚片由链杆D、LH连接交于无穷远饺O， H链机F、GI连接交了饺O，刚片ADE与刚片CFGH链杆
src01_p006.jpg,01_assignments_01.tex:230,120,5,0.7456,0.01415,0.0,mixed_text_and_diagram,01 1-17、解析：计算门山度W4×3-3×2-7×1--1。刚片AB叫先并入人地，随 采两刚片规则分析，利CD与人地根不其线不父：点的链科秤BC利支 座D连接，满是两刚片规则，CL杆为多余约束，敌原体系为有·个多余约束的儿 何不变体系。
src02_p001.jpg,02_assignments_01.tex:72,358,29,0.7977,0.02381,0.00022,text_heavy_convert_to_latex,几1 1-1图156所示体系的 A：儿何瞬变，无多余约束 C.几何常变 ID.儿何瞬变，有多余约束 1-2欲使图1-57所示体系成为无多余约束的儿何不变体系、则需在A端加人（ （中南大学2011，合肥T业大学2009） A.固定铰支座 B.固定支座 C.滑动铰支座 D.定向支座 1-3图1－58所示体系的几何构造性质是（）。（中南大学2009） A.常变体系 B.瞬变体系 C.无多余联系的几何不变体系 D.有多余联系的几何不变体系 [图
src02_p002.jpg,02_assignments_01.tex:128,354,26,0.7701,0.03066,0.0,text_heavy_convert_to_latex,图1-60 图1-59 图1-61 1-7 对图1-62所示体系进行几何组成分析。（哈尔滨工业大学2009） 1-8 对图1－63所示体系作几何组成分析。（武汉科技大学2009） 1-9 对图1－64所示杆件体系进行几何构造分析。（武汉理工大学2008） 图1-63 图162 图  64 1 - 10 计算图1-65所示体系的计算自由度，试分析其体系的几何组成。（华南理工大 学2012) 1 - 11  对图1-66所示平面体系进行儿何
src02_p003.jpg,02_assignments_01.tex:160,163,15,0.7922,0.01379,0.0,mixed_text_and_diagram,1- 14 试对图1-69所示体 1 ~ 15 计算图1-70的计算 局工程力学研究所 2010) 图1-69 图1-70 1- 16 对图1-71所示体系进行几何构造分析。（西南交通大学2008） 1 - 17 计算图1～72所示体系的计算自由度，并进行几何构成分析。（北京工业大学 2010) 图1-71 [图 1 -72
src03_p001.jpg,03_assignments_02.tex:258,301,13,0.8119,0.02126,0.0,text_heavy_convert_to_latex,a）解：取整体隔离体竖 对B点取知得B处支座反力 （b）解：整体隔离体竖向力平衡，可得A处竖向支反力 F=15×1+30= 45KN(个) 对A点取知得A处支座反力矩 M-15×1×2.5+30×3-127.5KN-m（逆附） （c）解：收整体隔离体对C点取，由F×3+30-40×1.5=0，川得B点竖向支 反力F=10KN，紧向力衡得F=30KN： （d）解：取整体隔离体对A点取，山F×10-4-0.2×10×5=0，可得B点坚向 支
src03_p002.jpg,03_assignments_02.tex:444,284,14,0.7457,0.01889,0.0,text_heavy_convert_to_latex,6K.1-0m （T）解：取整体隔离体对A点取知，F.x4u-qxax4.5a=0，可得B点竖向支 反力F=1.125qc，坚向力衡得F=0.125qa。 （g）解：整体隔离体竖向力平衡，可得A处竖向支反力 . = 5×=5KN(个) 对A点取知得A处支座反力矩 M，-5×1×2-10KN·m（逆附） （h）解：取整体隔离体竖向力平衡，川得A处竖间支反力 F.m. =15KN(↑) 对A点取知得A处支座反力矩 M，-10+15×1-25
src03_p003.jpg,03_assignments_02.tex:714,205,8,0.7763,0.01755,0.0,mixed_text_and_diagram,（i）解：取整体隔离体对 3a （k）解：取整体隔离体对A点取，可得F×2a+F×a=q×2axα；取BC 分隔离体对C点取短可得F%×(=Fu×a，联立解得下B一 整体坚向力和水力平衡，可得A处支座反力： （1）解：取整体隔离体对A点取知，叫得Fm×10=2×5×7.5→F=7.5KV；取 BC部分隔离体对C点取知叫得F×5-×6+2×5×2.5→ 体紧向力和水平力平衡，可得A处支座反力F，=2.5KN，
src03_p004.jpg,03_assignments_02.tex:788,0,0,0.0,0.00814,0.0,diagram_heavy_redraw_or_crop,
src04_p001.jpg,04_assignments_02.tex:74,148,27,0.6885,0.03327,0.00193,mixed_text_and_diagram,求解图示结构的支方 30 kN kN/m Im 3m (a) (b) 4kN·m 40kN 30kN-m 0.2kN/m 10 m 4m (c) (d) 20 kN-m 20 kN 6 kN·m 5a 3 m (e) I5kN .10kN.m 5 kN/m I m 2.5m (9) (h (1)
src04_p002.jpg,04_assignments_02.tex:86,13,4,0.6229,0.0086,0.00184,diagram_heavy_redraw_or_crop,5m 5m (k) (m)
src05_p001.jpg,05_assignments_03.tex:172,323,26,0.7247,0.02185,0.0,text_heavy_convert_to_latex,（a）解：取整体隔离体坚 对B点取知得B处支座反力 （1侧受拉） 面禹原构弯短图和剪力图如图（a）（b）所尔。 1/6go 1/200 (a) (b) （b）解：取整体隔离体竖向力平衡，可得A处坚向支反力 F=15×1+30=45KN个），对A点取得A处支座反力矩 M，=-15×1×2.5-30×3--127.5KN·m（F侧受拉）弯短图图（a）所尔。 127.5 45 30 37.5 M图(KV-m) Q图(KN) (a) (b) （
src05_p002.jpg,05_assignments_03.tex:296,294,30,0.7096,0.02177,0.0,text_heavy_convert_to_latex,（d）解：取整体隔离体对 支反力F=1.4KN，坚紧尚， J偶，两侧截面 的弯知有突变，C左侧截 Ml =0.6×8-0.2×8×4=- 平衡得 M”=2.4KN·m（下侧受拉）。出弯图和剪力图如图（b）（c）所尔。 4KN-m 1.6 0.2KN/ 0.8 2.4 M/图 (KN-m) (a) (b) 0.6 1.4 Q图(KN) (c) （c）解：取整体隔离体对A点取知，山F×3-6-20×2-20=0，可得B点竖向 支反力F=22
src05_p003.jpg,05_assignments_03.tex:432,287,25,0.7195,0.02071,0.0,text_heavy_convert_to_latex,"（T）解：取整体隔离体对 反力F=1.125qq，竖向力 力图如图(b) (c）所尔。 M图 (a) (b) 1/8q1 (c) （a）解：取整体隔离体竖向力平衡，可得A处竖向支反力 F.. = 5×I= 5KN(↑) 对A点取知得A处支座反力矩 M,=-5×l×2=-10KN-m（:侧受拉) （）（） 01 25 M /3/ (KNm) Q//(KN) (a) (b) （b）解：取整体隔离体竖向力平衡，川得A处竖向支反力 F.m. ="
src05_p004.jpg,05_assignments_03.tex:558,203,24,0.6629,0.01919,0.0,mixed_text_and_diagram,(a) （c）解：取整体隔离体对A点取，山F×5a-g×3a×2.5a=0，可得B点竖向 支反F=1.5qa，竖向力平衡得F=1.5qa。面出弯短图和剪力图如图（b）（ c）所尔： 3/2qc 21/8009/800 M图 (a) (b) 3/2q 3/20ct (c) M，坚间力平衡得 反力 M. 出弯图和剪力图如图（b）（c）所 3a 3u 2M. 4/3M. 1/3MJ (a) M/3ct (c)
src05_p005.jpg,05_assignments_03.tex:676,253,34,0.6743,0.01958,0.0,mixed_text_and_diagram,（c）解：取整体隔离体对 F=14KN。博山整体紧冶 [出湾图和] 剪图如图（b）（c）所 20 4K.1/m 4K1m 20K.vm M/g/(KVm) (a) FB FA (b) 14 (c) T）解：取整体隔离体对A点取，山×4a+ 二#×2a-Fxa+F×3a，得B 下，博扫整体坚向力平衡，可得A处支座反力 处支座反力 16 16 出湾弯图和剪力图如图（b） （c）斯尔： 3/8F0 1/8F 5/16/c 5/16Fa (a)
src05_p006.jpg,05_assignments_03.tex:760,235,27,0.6923,0.01952,0.0,mixed_text_and_diagram,（g）解：取整体隔离体对 KN，博山整体坚冶 出弯矩图和剪 力图图（b）（c）所尔 1.4 (a) (b) 12 (c) （h）解：取整体隔离体对A点取知，山F，×6=10×6×3+250×2+250×4川得B 处支座的竖向反力F=280KN，再整体坚向力衡，可得A处支座反力 F=280KN。弯图和剪图如图（b）（c）所尔。 I(OKN/H 540 545 540) (a) M图/(KNm) (b) 280 260 10 10) 260
src05_p007.jpg,05_assignments_03.tex:828,107,13,0.7104,0.01304,0.0,mixed_text_and_diagram,（a）解：取CD部分隔离 力F=q，博取AC部分， 侧受拉）：出弯知图和 1/8ga- 1/2ga FB (b) (a) (e) （b）解：【知AC为杆，没有剪利湾，湾图和剪图图（a） (b）所示。 (a) (b)
src06_p001.jpg,06_assignments_03.tex:54,120,20,0.7187,0.01307,3e-05,mixed_text_and_diagram,、画剪力图和弯矩图 30kN [5 kN/m Im 3 m (a) (b) 4kN-m 140 kN 30kN-m 0.2kN/m 10m 4m (c) (d) 20kN.m20kN 6 kN.m 3m (c) 小鹿1木考研第43/359页
src06_p002.jpg,06_assignments_03.tex:128,162,29,0.7077,0.02516,0.0,mixed_text_and_diagram,试利用荷载集度、剪力 2.5 m (a) (b) M. 2M 3a 3a (c) (d) 4 kN-m 20kN-m 4 kN/m DA 4m 44 (c) (f) 2kN/m 10kN/m 250kV250kN 6m (g) (h) 试作下列具有中间铰的梁的剪力图和弯矩图 M. (a) (b) 小鹿木考研第44/359页
src06_p003.jpg,06_assignments_03.tex:156,173,17,0.5964,0.02605,0.0,mixed_text_and_diagram,"(a) a-) (a-1) 1-1致上由50，后： IMso, M= - +h. 考,势中因如目a-1),(a3)h手 (6-3) (A-2) 70 1520,Q=x+305 M=+45X 7- A 130 +2520, Q= 15×0. X)+30 =7 Im70,  +30x0-)+15x M= -155+5-7 小鹿1木研第45/359页"
src06_p004.jpg,06_assignments_03.tex:188,121,10,0.61,0.02532,0.0,mixed_text_and_diagram,"Q= (75-15x)1g, 2 x53 173 Qi. w) 由平糕 IMg20, Fe.了 = Jo +40 x1.s, l:Jo. 取AC 较随离伴，由于 AC段旁力为0,可碍Mz=30b4m 30 70 10 小鹿木研第46/359货"
src06_p005.jpg,06_assignments_03.tex:210,224,13,0.6059,0.02345,0.0,mixed_text_and_diagram,"取整母病岛注由1MA:0, 0.1×bX5 +9 -后×10 =0, 门后: 14h. 15=0,E+后=azxho, Fa= 0.byw 取 Ct例到终随务体 0.2 由1Mc = 0, Mct +后x2 - 0.2×2] ≥0, Mt : 2.4 h以m(下例) 由点平项了日行 M：biwn(上例经控)可就b图力 16 1.4 0. M图ckun) 由于学上无力，改要力国突变,为杂直线,孕4为a.2 , 0.6 小鹿1木考研第47/"
src06_p006.jpg,06_assignments_03.tex:240,149,7,0.6279,0.02544,0.0,mixed_text_and_diagram,"b k.. 功整为随禽体,对A粒加短,由g0, 6+20+20× 2 一后X了0. 后=2 K, 5520,丙+20-斤=0，52 Bzmc 0, Mc +2X 2 - 620, Mc: 2 kmm c0, Qi+220, Qu=2k IMero, Me = tta"". 小鹿木号研第48/359货"
src06_p007.jpg,06_assignments_03.tex:264,144,7,0.5841,0.02244,0.0,mixed_text_and_diagram,"(α) 由AC剪力为 W.可 AL技胍多W.列 Me= 2.5 W-r 上图争拍) M ( k.m) Ac 结明剪力不复,为kv, Uc技勇力y命为的而相能人 5 1al 较为0.0,Q0. 整本确名, zM =0. Mlg =5× 1+0 =25 kM.m 小鹿1木考研第49/359页"
src06_p008.jpg,06_assignments_03.tex:284,67,4,0.6157,0.02618,0.0,diagram_heavy_redraw_or_crop,"由林可得后斤90= 根星QAL2a，Ms 0,可行 McA:ta*(T)=MD) gp=C2技剪力每+为 , 小鹿木研第50/359货"
src06_p009.jpg,06_assignments_03.tex:302,54,3,0.6294,0.02357,0.0,diagram_heavy_redraw_or_crop,"以整体陷需体，由M-0,4+4×4×2+20-后×420,：141W 0=44，2 小鹿木研第51/359货"
src06_p010.jpg,06_assignments_03.tex:324,133,7,0.6086,0.02557,0.0,mixed_text_and_diagram,"取整降隔离体,由0, 后×2=2×1x±,后   (m) 取 C左间列月点终务体 IMc30. Me +5x2 - Jox2x1 20. MoA--hu kwv. *0, Q 10x 2一月0, Qc:2 Igro, +eut sblw. 小鹿木号研第52/359货"
src06_p011.jpg,06_assignments_03.tex:352,82,12,0.5914,0.0187,0.0,mixed_text_and_diagram,50. 给构称下，力为针 290 24.0 092 (0) 双r纹洋，升致，可得 Mr= 9a.a =95 取Acm件 81 Me'SAC 小鹿木研第53/359货
src06_p012.jpg,06_assignments_03.tex:370,51,4,0.6209,0.01166,0.0,diagram_heavy_redraw_or_crop,"由0,后0放 由Mzo,MAaC=ta' Tg-0, 23c 2 -94. 小鹿木号研第54/359页"
src07_p001.jpg,07_assignments_04.tex:98,368,42,0.7547,0.02864,0.00048,text_heavy_convert_to_latex,结力基础 图2-60所示结构截面（以1为 2-1  。西南交通大学 2008) A. M B. -M C -2M D. 0 2-2图2-61所示结构剪力FQm （重庆大学2010） 图2-60 图 2 - 61  ，剪力为 2-3图2-62所示刚架中AB杆的弯矩为 （河北工业大学 2010) 2-4图2-63所示刚架，AD杆截面D弯矩MmM= （内侧受拉为正）。（浙江 大学2011) 10kN-m NMOE 5kN-m 4m 8m 图 
src07_p002.jpg,07_assignments_04.tex:186,420,44,0.7167,0.03107,0.0,text_heavy_convert_to_latex,2-7求图2-66所示结构 2-8 绘出图2-67所示结# 40k.V 40kN 4元 图 2 - 66 图 2 - 67 .2-9作图2-68所示静定刚架M图。（福州大学2008） 2-10  绘制图2-69所示结构的弯矩图。（武汉科技大学290945 10Vm 20kN 2kNim 3kN-m 3m 2m 2m 3m (图 2 - 68 图 2 - 69 2 - 11  绘图2~70所示结构的弯矩图。（重庆大学2012） -2-12
src07_p003.jpg,07_assignments_04.tex:258,391,37,0.7351,0.03635,0.0,text_heavy_convert_to_latex,2 - 15 作图2-74所示 2 - 16 求图2-75所示线 大学2008) 30kN-m 30kN 8m 图 2 - 74 图 2 - 75 2 - 17 作图2－76所示结构的弯矩图。（无须写出分析过程）（东南人学2007） 2 - 18  作图2-77所示结构弯矩图。（中南大学2010) 10kN/m 20kN/m 10kN/m 40kN 6m 6m 2m 2m 图2-76 图 2 - 7 为二次抛物线，试确定结构所受的荷载情
src07_p004.jpg,07_assignments_04.tex:284,74,14,0.6787,0.00636,0.0,diagram_heavy_redraw_or_crop,2 - 21 不经过计算，绘制 2 - 22  2试求解图2-81所 2m 10kN-m 3m 3m 3m 5m 3m 3m 图 2-80 图2 -
src07_p005.jpg,07_assignments_04.tex:306,68,9,0.602,0.01673,0.00085,diagram_heavy_redraw_or_crop,"M NE I fhy 22. :QBA -0. 2-3 335 Ex0, Fx= wx4- toky (ay/ 4: +4× 2 40."
src07_p006.jpg,07_assignments_04.tex:336,107,11,0.5849,0.02432,0.0001,mixed_text_and_diagram,1x5=90 M=94×4-249×4=29g （4学拉) 为附属场 本x 1ox4= to0.m × 218 kW.m b pam Fyox 4= 5x 6 12 40 [0X 4* ix 16x 40 70km
src07_p007.jpg,07_assignments_04.tex:360,150,13,0.6222,0.02071,7e-05,mixed_text_and_diagram,40×4x A院用音如法 Mg= 87x2 + 40×2+1= 2 (00 kn.m 40 240 140 4d DE剪M常数 2Fp MA= 2xG-Fp×0= F9. Fj4x 4= 3+ 2xx 2= 12 Mc=3× 2  2x2 x[= 2 kv.  M- bx1- 2xix-= 61=5
src07_p008.jpg,07_assignments_04.tex:386,52,10,0.5744,0.0186,0.0,diagram_heavy_redraw_or_crop,"10x3号=4 Mes 1by "" Hev? 40 kv 45 120 10 120 40 212 ML"
src07_p009.jpg,07_assignments_04.tex:408,51,5,0.6271,0.01681,0.0001,diagram_heavy_redraw_or_crop,2-1 2424 1=4 8=1+ ++ =4W Mt= 3×4+ 2x2×- 4= 20. MABX
src07_p010.jpg,07_assignments_04.tex:452,67,16,0.6521,0.01898,0.00044,diagram_heavy_redraw_or_crop,.ob 8.75 30 40 30 8.75 30 40 40 8.75 30 10 40 48.75 Fo图(kN) FN图(kN)
src07_p011.jpg,07_assignments_04.tex:470,31,2,0.5645,0.01116,0.0,diagram_heavy_redraw_or_crop,Mute Fpxg= Fpg 10×632160 180182
src07_p012.jpg,07_assignments_04.tex:522,140,10,0.5958,0.02388,0.00216,mixed_text_and_diagram,0 13  Frxx 9+ Wxbx3 168 1xs 652-5 Ix%0 Fx + b0+ 10x 3=72. 6t2.7 M6r= 6**+ 10x*±-115x9 2-8 FHX（田M可得） +x$+2ttol c++hu] Fuxx 4+ 10x 2+1- Fmy+ 2
src07_p013.jpg,07_assignments_04.tex:546,103,12,0.6509,0.01682,0.0,mixed_text_and_diagram,(0b- nt)午 =()* * xFx4= (45 F=6kN Mb- IBX 4- 2+4+2= 2  FBy 45V 1Ax=2.5kV 3.5 3.5 3.5 2.5 FQ图(kN) Fv图(kN)
